yangon_tower_id,distance_to_grouped_site_m,radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
7976,0.0,UMTS,414,1,7001,133956,96.192581,16.818008,1000,0,MPT,Thingangyun
2083,0.0,GSM,414,1,300,12012,96.122818,16.846161,1000,0,MPT,Hlaing
7422,0.0,UMTS,414,1,7001,132981,96.176376342773,16.80290222168,1000,0,MPT,Tamwe
7422,0.0,UMTS,414,1,7001,132540,96.176376342773,16.80290222168,1000,0,MPT,Tamwe
1766,0.0,UMTS,414,1,7001,132534,96.155082,16.731492,8258,0,MPT,Dala
1943,0.0,UMTS,414,1,351,2042818,96.122303,16.838608,1000,0,MPT,Hlaing
1208,0.0,UMTS,414,1,351,2042228,96.206588745117,16.894912719727,1000,0,MPT,Dagon Myothit (East)
780,0.0,UMTS,414,1,7001,133385,96.16813659668,16.774063110352,1000,0,MPT,Botahtaung
780,0.0,UMTS,414,1,7001,133383,96.16813659668,16.774063110352,1000,0,MPT,Botahtaung
772,0.0,UMTS,414,1,7001,133388,96.168137,16.773514,1000,0,MPT,Botahtaung
4818,0.0,UMTS,414,1,351,2042679,96.107711791992,16.85920715332,1000,0,MPT,Mayangone
3719,0.0,UMTS,414,1,7001,132598,96.135177612305,16.819381713867,1000,0,MPT,Kamaryut
8336,0.0,UMTS,414,1,7002,592980,96.175003051758,16.827621459961,1000,0,MPT,Yankin
8088,0.0,UMTS,414,1,7002,591526,96.188735961914,16.827621459961,1000,0,MPT,Thingangyun
3202,0.0,UMTS,414,1,351,2041764,96.10221862793,16.877059936523,1000,0,MPT,Insein
3997,0.0,UMTS,414,1,7002,590996,96.128998,16.831741,1000,0,MPT,Kamaryut
8538,0.0,UMTS,414,1,351,2041708,96.161270141602,16.852340698242,1000,0,MPT,Yankin
5502,0.0,UMTS,414,1,351,2041714,96.126948,16.907275,7176,0,MPT,Mingaladon
841,0.0,UMTS,414,1,7001,132946,96.157150268555,16.782302856445,1000,0,MPT,Dagon
6484,0.0,UMTS,414,1,351,2042440,96.157150268555,16.915512084961,1000,0,MPT,North Okkalapa
6388,0.0,UMTS,414,1,351,2979595,96.156601,16.892441,1000,0,MPT,North Okkalapa
6349,0.0,UMTS,414,1,351,2979600,96.154403686523,16.882553100586,1000,0,MPT,North Okkalapa
6322,0.0,UMTS,414,1,351,2979614,96.157150268555,16.871566772461,1000,0,MPT,North Okkalapa
5177,0.0,UMTS,414,1,351,2979620,96.147537231445,16.870193481445,1000,0,MPT,Mayangone
5084,0.0,UMTS,414,1,351,2979622,96.144333,16.866989,1000,0,MPT,Mayangone
4785,0.0,UMTS,414,1,351,2979626,96.141357,16.856804,1054,0,MPT,Mayangone
4731,0.0,UMTS,414,1,351,2979631,96.140670776367,16.853713989258,1000,0,MPT,Mayangone
2101,0.0,UMTS,414,1,7002,2979632,96.13655090332,16.84684753418,1000,0,MPT,Hlaing
3687,0.0,UMTS,414,1,7001,2979652,96.137466,16.817551,3106,0,MPT,Kamaryut
6407,0.0,UMTS,414,1,351,2980425,96.157150268555,16.897659301758,1000,0,MPT,North Okkalapa
6407,0.0,UMTS,414,1,351,2980426,96.157150268555,16.897659301758,1000,0,MPT,North Okkalapa
