candidate_id,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,adm4_pcode,population_2020,population_score,nearest_tower_id,nearest_tower_lat,nearest_tower_lon,nearest_tower_township,nearest_tower_networks,nearest_tower_radios,nearest_tower_cell_count,nearest_tower_recheck_km,elevation_m,elevation_score
115,Mingaladon,Nwe Khway,17.03518073,96.15242822,1,0.1854877748305622,0.0074195109932224,152.54252351281627,0.0617875471229142,0.9433597616101812,0.6738496197199203,0.0,0.902933240326642,0.0970667596733579,26.90117205469372,MMR013002001,16468.59024810791,0.7448241820231774,5928,17.033615112305,96.153030395508,Mingaladon,Ooredoo,UMTS,1,0.1854877748306385,8.0,0.1891891891891892
116,Mingaladon,Kone Ta La Paung,17.01144624,96.15179207,1,0.312665523992262,0.0125066209596904,151.78748283687992,0.0623934006181056,0.9088126556587584,0.7026566662563285,0.0,0.8778892572483938,0.1221107427516061,27.582058398855523,MMR013002002,10385.834555625916,0.7094614346050309,5880,17.008895874023,96.153030395508,Mingaladon,Telenor,UMTS,1,0.3126655239918783,14.0,0.35135135135135137
117,Mingaladon,Shwe Nant Thar,16.98417621,96.16322717,1,0.4656945175691206,0.0186277807027648,150.60517303525478,0.0632436258125965,0.8547157264655125,0.7430830679169963,0.0,0.837970827683235,0.1620291723167649,28.54810442691737,MMR013002003,42888.329592227936,0.8182464546281694,5810,16.980056762695,96.164016723633,Mingaladon,Ooredoo,UMTS,1,0.4656945175692162,7.0,0.16216216216216217
118,Mingaladon,Pyin Ma Pin,16.99531331,96.13725306,1,0.1289763812296108,0.0051590552491844,151.89875877845463,0.0625022751565985,0.9139041187625954,0.7078334192533654,0.0,0.8829935138362108,0.1170064861637891,27.064640607407902,MMR013002004,37424.3054151535,0.8077923594296123,5851,16.996443,96.136978,Mingaladon,MPT,UMTS,1,0.1289763812295583,28.0,0.7297297297297297
119,Mingaladon,Thin Gan Kyun Gyi,16.95428284,96.16176311,1,0.5446077160687557,0.0217843086427502,149.82864938061945,0.0638974579382497,0.8191856605691236,0.7741713963993468,0.0,0.8124335209436571,0.1875664790563429,29.120555704410155,MMR013002005,40069.89925575256,0.8130320866562986,5735,16.955337524414,96.166763305664,Mingaladon,Telenor,UMTS,1,0.5446077160689407,7.0,0.16216216216216217
120,Mingaladon,Urban,17.00762585,96.11312766,0,0.4578660245299376,0.0183146409811975,152.77529779478223,0.0620093538933912,0.9540104166518736,0.6843960604187602,0.0,0.9135682632169064,0.0864317367830934,2.395354510618252,MMR013002701,19121.998517513275,0.756283219435056,5875,17.006654,96.117312,Mingaladon,Ooredoo,UMTS,1,0.4578660245304889,17.0,0.43243243243243246
121,Mingaladon,Urban,17.05639172,96.13250221,0,0.5505090900372683,0.0220203636014907,153.92820252756172,0.0610062178580917,1.0,0.6366990731428341,0.0,0.945504860971425,0.0544951390285749,2.138648901518068,MMR013002702,86962.92659306526,0.8724723709790034,5993,17.053555,96.128258,Mingaladon,Telenor,UMTS,2,0.5505090900376963,12.0,0.2972972972972973
122,Shwepyithar,Oke Hpo,16.97570696,96.10166149,1,0.8636458544856034,0.0345458341794241,152.42816232870214,0.0625365990810468,0.9381271323357102,0.7094654489383339,0.0,0.9038278798261038,0.0961721201738962,28.51533185337389,MMR013007001,33141.328764915466,0.7984690218176316,7065,16.973190307617,96.093978881836,Shwepyithar,Telenor,UMTS,1,0.8636458544851718,16.0,0.40540540540540543
123,Shwepyithar,Zee Kone,16.95102978,96.10566202,1,0.5127477916559302,0.0205099116662372,151.61999778571578,0.0631645054397106,0.9011493283808322,0.7393210622806644,0.0,0.876875088465807,0.123124911534193,28.077468372987124,MMR013007002,20129.42375946045,0.7602216920083363,7033,16.951217651367,96.100845336914,Shwepyithar,Telenor,UMTS,1,0.5127477916554216,13.0,0.32432432432432434
124,Shwepyithar,Kyaung Kone,17.0081661,96.09542774,1,1.518297920424779,0.0607319168169911,153.90356077070317,0.0614482740691484,1.0,0.6577179068125089,0.0,0.9486576860218764,0.0513423139781237,29.414049718691327,MMR013007003,16246.053363084791,0.743780574736303,7077,17.011642456055,96.081619262695,Shwepyithar,Ooredoo,UMTS,1,1.5182979204245832,15.0,0.3783783783783784
